questionnaire_type,participant_id,id,response_value,question
pre,7bc35e9f-ebfa-45a9-8527-2f825cddecd0,376,7,tech_comfort
post,98bdcd75-a1f9-49ed-8cab-8f49ffb0c6ce,455,3,confidence
post,98bdcd75-a1f9-49ed-8cab-8f49ffb0c6ce,456,5,effort
post,98bdcd75-a1f9-49ed-8cab-8f49ffb0c6ce,457,6,engagement
post,98bdcd75-a1f9-49ed-8cab-8f49ffb0c6ce,454,5,overall_difficulty
pre,98bdcd75-a1f9-49ed-8cab-8f49ffb0c6ce,404,3,ai_familiarity
pre,98bdcd75-a1f9-49ed-8cab-8f49ffb0c6ce,405,4,ai_usage
pre,98bdcd75-a1f9-49ed-8cab-8f49ffb0c6ce,402,6,content_familiarity
pre,98bdcd75-a1f9-49ed-8cab-8f49ffb0c6ce,403,6,decision_experience
pre,98bdcd75-a1f9-49ed-8cab-8f49ffb0c6ce,406,5,tech_comfort
post,999e697f-eced-4f04-9cdc-7c6d1138e13f,459,3,confidence
post,999e697f-eced-4f04-9cdc-7c6d1138e13f,460,3,effort
post,999e697f-eced-4f04-9cdc-7c6d1138e13f,461,1,engagement
post,999e697f-eced-4f04-9cdc-7c6d1138e13f,458,1,overall_difficulty
pre,999e697f-eced-4f04-9cdc-7c6d1138e13f,419,4,ai_familiarity
pre,999e697f-eced-4f04-9cdc-7c6d1138e13f,420,4,ai_usage
pre,999e697f-eced-4f04-9cdc-7c6d1138e13f,417,7,content_familiarity
pre,999e697f-eced-4f04-9cdc-7c6d1138e13f,418,6,decision_experience
pre,999e697f-eced-4f04-9cdc-7c6d1138e13f,421,1,tech_comfort
post,9a6274bb-d17c-46b6-bb18-11bc1dd65d97,496,4,confidence
post,9a6274bb-d17c-46b6-bb18-11bc1dd65d97,497,4,effort
post,9a6274bb-d17c-46b6-bb18-11bc1dd65d97,498,6,engagement
post,9a6274bb-d17c-46b6-bb18-11bc1dd65d97,495,4,overall_difficulty
pre,9a6274bb-d17c-46b6-bb18-11bc1dd65d97,482,7,ai_familiarity
pre,9a6274bb-d17c-46b6-bb18-11bc1dd65d97,483,7,ai_usage
pre,9a6274bb-d17c-46b6-bb18-11bc1dd65d97,480,7,content_familiarity
pre,9a6274bb-d17c-46b6-bb18-11bc1dd65d97,481,5,decision_experience
pre,9a6274bb-d17c-46b6-bb18-11bc1dd65d97,484,6,tech_comfort
post,9ad79e66-f08b-4a92-9b73-fe13848408c3,447,3,confidence
post,9ad79e66-f08b-4a92-9b73-fe13848408c3,448,3,effort
post,9ad79e66-f08b-4a92-9b73-fe13848408c3,449,3,engagement
post,9ad79e66-f08b-4a92-9b73-fe13848408c3,446,5,overall_difficulty
pre,9ad79e66-f08b-4a92-9b73-fe13848408c3,409,5,ai_familiarity
pre,9ad79e66-f08b-4a92-9b73-fe13848408c3,410,6,ai_usage
pre,9ad79e66-f08b-4a92-9b73-fe13848408c3,407,7,content_familiarity
pre,9ad79e66-f08b-4a92-9b73-fe13848408c3,408,6,decision_experience
pre,9ad79e66-f08b-4a92-9b73-fe13848408c3,411,6,tech_comfort
post,9b158d49-b4c2-447d-8a3d-d5df47ce29d1,359,3,confidence
post,9b158d49-b4c2-447d-8a3d-d5df47ce29d1,360,6,effort
post,9b158d49-b4c2-447d-8a3d-d5df47ce29d1,361,4,engagement
post,9b158d49-b4c2-447d-8a3d-d5df47ce29d1,358,5,overall_difficulty
pre,9b158d49-b4c2-447d-8a3d-d5df47ce29d1,307,6,ai_familiarity
pre,9b158d49-b4c2-447d-8a3d-d5df47ce29d1,308,7,ai_usage
pre,9b158d49-b4c2-447d-8a3d-d5df47ce29d1,305,7,content_familiarity
pre,9b158d49-b4c2-447d-8a3d-d5df47ce29d1,306,7,decision_experience
pre,9b158d49-b4c2-447d-8a3d-d5df47ce29d1,309,7,tech_comfort
post,bee80cba-c6ac-41f1-869c-dd4eaaf2c919,331,1,confidence
post,bee80cba-c6ac-41f1-869c-dd4eaaf2c919,332,1,effort
post,bee80cba-c6ac-41f1-869c-dd4eaaf2c919,333,4,engagement
post,bee80cba-c6ac-41f1-869c-dd4eaaf2c919,330,2,overall_difficulty
pre,bee80cba-c6ac-41f1-869c-dd4eaaf2c919,317,6,ai_familiarity
pre,bee80cba-c6ac-41f1-869c-dd4eaaf2c919,318,7,ai_usage
pre,bee80cba-c6ac-41f1-869c-dd4eaaf2c919,315,7,content_familiarity
pre,bee80cba-c6ac-41f1-869c-dd4eaaf2c919,316,4,decision_experience
pre,bee80cba-c6ac-41f1-869c-dd4eaaf2c919,319,6,tech_comfort
post,c8041c5c-38ce-4991-b0f3-a9960672fce1,439,4,confidence
post,c8041c5c-38ce-4991-b0f3-a9960672fce1,440,5,effort
post,c8041c5c-38ce-4991-b0f3-a9960672fce1,441,6,engagement
post,c8041c5c-38ce-4991-b0f3-a9960672fce1,438,5,overall_difficulty
pre,c8041c5c-38ce-4991-b0f3-a9960672fce1,364,6,ai_familiarity
pre,c8041c5c-38ce-4991-b0f3-a9960672fce1,365,5,ai_usage
pre,c8041c5c-38ce-4991-b0f3-a9960672fce1,362,7,content_familiarity
pre,c8041c5c-38ce-4991-b0f3-a9960672fce1,363,7,decision_experience
pre,c8041c5c-38ce-4991-b0f3-a9960672fce1,366,7,tech_comfort
post,cc61afea-4367-4738-89b9-8c8d8a306d8c,423,2,confidence
post,cc61afea-4367-4738-89b9-8c8d8a306d8c,424,5,effort
post,cc61afea-4367-4738-89b9-8c8d8a306d8c,425,4,engagement
post,cc61afea-4367-4738-89b9-8c8d8a306d8c,422,6,overall_difficulty
pre,cc61afea-4367-4738-89b9-8c8d8a306d8c,379,7,ai_familiarity
pre,cc61afea-4367-4738-89b9-8c8d8a306d8c,380,7,ai_usage
pre,cc61afea-4367-4738-89b9-8c8d8a306d8c,377,7,content_familiarity
pre,cc61afea-4367-4738-89b9-8c8d8a306d8c,378,7,decision_experience
pre,cc61afea-4367-4738-89b9-8c8d8a306d8c,381,7,tech_comfort
post,d35fbd2f-a8ee-4857-ab65-879838215e77,343,3,confidence
post,d35fbd2f-a8ee-4857-ab65-879838215e77,344,3,effort
post,d35fbd2f-a8ee-4857-ab65-879838215e77,345,5,engagement
post,d35fbd2f-a8ee-4857-ab65-879838215e77,342,4,overall_difficulty
pre,d35fbd2f-a8ee-4857-ab65-879838215e77,312,7,ai_familiarity
pre,d35fbd2f-a8ee-4857-ab65-879838215e77,313,7,ai_usage
pre,d35fbd2f-a8ee-4857-ab65-879838215e77,310,7,content_familiarity
pre,d35fbd2f-a8ee-4857-ab65-879838215e77,311,6,decision_experience
pre,d35fbd2f-a8ee-4857-ab65-879838215e77,314,7,tech_comfort
post,d519b933-73b4-4061-b5c3-6d8b7b857c95,451,4,confidence
post,d519b933-73b4-4061-b5c3-6d8b7b857c95,452,4,effort
post,d519b933-73b4-4061-b5c3-6d8b7b857c95,453,7,engagement
post,d519b933-73b4-4061-b5c3-6d8b7b857c95,450,3,overall_difficulty
pre,d519b933-73b4-4061-b5c3-6d8b7b857c95,389,5,ai_familiarity
pre,d519b933-73b4-4061-b5c3-6d8b7b857c95,390,4,ai_usage
pre,d519b933-73b4-4061-b5c3-6d8b7b857c95,387,6,content_familiarity
pre,d519b933-73b4-4061-b5c3-6d8b7b857c95,388,7,decision_experience
pre,d519b933-73b4-4061-b5c3-6d8b7b857c95,391,6,tech_comfort
post,d6bc2fd2-4b6d-4805-ba46-696ba1a1f1b0,355,3,confidence
post,d6bc2fd2-4b6d-4805-ba46-696ba1a1f1b0,356,5,effort
post,d6bc2fd2-4b6d-4805-ba46-696ba1a1f1b0,357,3,engagement
post,d6bc2fd2-4b6d-4805-ba46-696ba1a1f1b0,354,3,overall_difficulty
pre,d6bc2fd2-4b6d-4805-ba46-696ba1a1f1b0,292,7,ai_familiarity
pre,d6bc2fd2-4b6d-4805-ba46-696ba1a1f1b0,293,7,ai_usage
pre,d6bc2fd2-4b6d-4805-ba46-696ba1a1f1b0,290,7,content_familiarity
pre,d6bc2fd2-4b6d-4805-ba46-696ba1a1f1b0,291,7,decision_experience
pre,d6bc2fd2-4b6d-4805-ba46-696ba1a1f1b0,294,7,tech_comfort
post,d7d9c375-530f-43f0-921e-a8cbf47df914,443,3,confidence
post,d7d9c375-530f-43f0-921e-a8cbf47df914,444,5,effort
post,d7d9c375-530f-43f0-921e-a8cbf47df914,445,6,engagement
post,d7d9c375-530f-43f0-921e-a8cbf47df914,442,7,overall_difficulty
pre,d7d9c375-530f-43f0-921e-a8cbf47df914,399,7,ai_familiarity
pre,d7d9c375-530f-43f0-921e-a8cbf47df914,400,6,ai_usage
pre,d7d9c375-530f-43f0-921e-a8cbf47df914,397,7,content_familiarity
pre,d7d9c375-530f-43f0-921e-a8cbf47df914,398,7,decision_experience
pre,d7d9c375-530f-43f0-921e-a8cbf47df914,401,7,tech_comfort
post,f9e8e30e-6178-4de7-ba7d-cca822f9f989,339,3,confidence
post,f9e8e30e-6178-4de7-ba7d-cca822f9f989,340,6,effort
post,f9e8e30e-6178-4de7-ba7d-cca822f9f989,341,4,engagement
post,f9e8e30e-6178-4de7-ba7d-cca822f9f989,338,5,overall_difficulty
pre,f9e8e30e-6178-4de7-ba7d-cca822f9f989,302,7,ai_familiarity
pre,f9e8e30e-6178-4de7-ba7d-cca822f9f989,303,6,ai_usage
pre,f9e8e30e-6178-4de7-ba7d-cca822f9f989,300,7,content_familiarity
pre,f9e8e30e-6178-4de7-ba7d-cca822f9f989,301,6,decision_experience
pre,f9e8e30e-6178-4de7-ba7d-cca822f9f989,304,7,tech_comfort
post,f9f9f19b-76ec-47c1-8099-f3f01a5d8f6a,427,4,confidence
post,f9f9f19b-76ec-47c1-8099-f3f01a5d8f6a,428,3,effort
post,f9f9f19b-76ec-47c1-8099-f3f01a5d8f6a,429,6,engagement
post,f9f9f19b-76ec-47c1-8099-f3f01a5d8f6a,426,5,overall_difficulty
pre,f9f9f19b-76ec-47c1-8099-f3f01a5d8f6a,384,6,ai_familiarity
pre,f9f9f19b-76ec-47c1-8099-f3f01a5d8f6a,385,6,ai_usage
pre,f9f9f19b-76ec-47c1-8099-f3f01a5d8f6a,382,7,content_familiarity
pre,f9f9f19b-76ec-47c1-8099-f3f01a5d8f6a,383,6,decision_experience
pre,f9f9f19b-76ec-47c1-8099-f3f01a5d8f6a,386,6,tech_comfort
post,fd8b5d9a-df98-4df5-922a-190f9912b135,504,6,confidence
post,fd8b5d9a-df98-4df5-922a-190f9912b135,505,4,effort
post,fd8b5d9a-df98-4df5-922a-190f9912b135,506,5,engagement
post,fd8b5d9a-df98-4df5-922a-190f9912b135,503,3,overall_difficulty
pre,fd8b5d9a-df98-4df5-922a-190f9912b135,492,7,ai_familiarity
pre,fd8b5d9a-df98-4df5-922a-190f9912b135,493,7,ai_usage
pre,fd8b5d9a-df98-4df5-922a-190f9912b135,490,7,content_familiarity
pre,fd8b5d9a-df98-4df5-922a-190f9912b135,491,7,decision_experience
pre,fd8b5d9a-df98-4df5-922a-190f9912b135,494,7,tech_comfort
